catalyst,AB,YB,AB_synth,YB_synth
A7Y1B3,A7B3,Y1B3,2,0
A8Y1B3,A8B3,Y1B3,2,0
A9Y1B3,A9B3,Y1B3,2,0
A11Y2B1,A11B1,Y2B1,2,0
A12Y2B1,A12B1,Y2B1,4,0
A15Y2B1,A15B1,Y2B1,10,0
A2Y2B1,A2B1,Y2B1,0,0
A4Y2B1,A4B1,Y2B1,0,0
A5Y2B1,A5B1,Y2B1,2,0
A8Y2B1,A8B1,Y2B1,2,0
A9Y2B1,A9B1,Y2B1,2,0
A1Y2B2,A1B2,Y2B2,0,0
A10Y2B2,A10B2,Y2B2,6,0
A11Y2B2,A11B2,Y2B2,2,0
A12Y2B2,A12B2,Y2B2,6,0
A13Y2B2,A13B2,Y2B2,2,0
A14Y2B2,A14B2,Y2B2,2,0
A15Y2B2,A15B2,Y2B2,10,0
A16Y2B2,A16B2,Y2B2,2,0
A2Y2B2,A2B2,Y2B2,0,0
A3Y2B2,A3B2,Y2B2,0,0
A4Y2B2,A4B2,Y2B2,2,0
A5Y2B2,A5B2,Y2B2,2,0
A6Y2B2,A6B2,Y2B2,2,0
A7Y2B2,A7B2,Y2B2,2,0
A8Y2B2,A8B2,Y2B2,2,0
A9Y2B2,A9B2,Y2B2,2,0
A1Y2B3,A1B3,Y2B3,0,2
A10Y2B3,A10B3,Y2B3,6,2
A11Y2B3,A11B3,Y2B3,2,2
A12Y2B3,A12B3,Y2B3,6,2
A13Y2B3,A13B3,Y2B3,2,2
A14Y2B3,A14B3,Y2B3,2,2
A15Y2B3,A15B3,Y2B3,10,2
A16Y2B3,A16B3,Y2B3,2,2
A2Y2B3,A2B3,Y2B3,0,2
A3Y2B3,A3B3,Y2B3,0,2
A4Y2B3,A4B3,Y2B3,2,2
A5Y2B3,A5B3,Y2B3,2,2
A6Y2B3,A6B3,Y2B3,2,2
A7Y2B3,A7B3,Y2B3,2,2
A8Y2B3,A8B3,Y2B3,2,2
A9Y2B3,A9B3,Y2B3,2,2
A12Y3B1,A12B1,Y3B1,4,0
A13Y3B1,A13B1,Y3B1,2,0
A2Y3B1,A2B1,Y3B1,0,0
A4Y3B1,A4B1,Y3B1,0,0
